,,50.80%,41.40%,32.50%,,,,32.50%,,
#,Title,Acc.,Diff.,Norm. Acc.,Avg. Acc.,Rel. Acc.,Points,Score,Tag,Premium
771,Jewels and Stones,87.80%,Easy,76.49%,50.80%,-52.22%,1,0.478,,
1757,Recyclable and Low Fat Products,94.00%,Easy,76.40%,50.80%,-52.03%,1,0.480,Sql,1
2235,Add Two Integers,92.30%,Easy,74.70%,50.80%,-48.58%,1,0.514,,
1119,Remove Vowels from a String,90.80%,Easy,74.39%,50.80%,-47.94%,1,0.521,,1
1693,Daily Leads and Partners,91.90%,Easy,74.30%,50.80%,-47.76%,1,0.522,Sql,1
1741,Find Total Time Spent by Each Employee,91.80%,Easy,74.20%,50.80%,-47.56%,1,0.524,Sql,1
1929,Concatenation of Array,91.60%,Easy,74.00%,50.80%,-47.15%,1,0.528,,
1920,Build Array from Permutation,91.50%,Easy,73.90%,50.80%,-46.95%,1,0.530,,
1378,Replace Employee ID With The Unique Identifier,91.20%,Easy,73.60%,50.80%,-46.34%,1,0.537,Sql,1
1683,Invalid Tweets,91.00%,Easy,73.40%,50.80%,-45.93%,1,0.541,Sql,1
1303,Find the Team Size,90.90%,Easy,73.30%,50.80%,-45.73%,1,0.543,Sql,1
1795,Rearrange Products Table,90.60%,Easy,73.00%,50.80%,-45.12%,1,0.549,Sql,1
1350,Students With Invalid Departments,90.50%,Easy,72.90%,50.80%,-44.92%,1,0.551,Sql,1
1480,Running Sum of 1d Array,90.50%,Easy,72.90%,50.80%,-44.92%,1,0.551,,
1108,Defanging an IP Address,89.10%,Easy,72.85%,50.80%,-44.82%,1,0.552,,
1581,Customer Who Visited but Did Not Make Any Transactions,90.30%,Easy,72.70%,50.80%,-44.51%,1,0.555,Sql,1
511,Game Play Analysis I,80.10%,Easy,72.61%,50.80%,-44.32%,1,0.557,Sql,1
1587,Bank Account Summary II,90.10%,Easy,72.50%,50.80%,-44.11%,1,0.559,Sql,1
1571,Warehouse Manager,90.00%,Easy,72.40%,50.80%,-43.90%,1,0.561,Sql,1
2236,Root Equals Sum of Children,90.00%,Easy,72.40%,50.80%,-43.90%,1,0.561,,
613,Shortest Distance in a Line,81.30%,Easy,72.31%,50.80%,-43.72%,1,0.563,Sql,1
1821,Find Customers With Positive Revenue this Year,89.60%,Easy,72.00%,50.80%,-43.09%,1,0.569,Sql,1
627,Swap Salary,81.10%,Easy,71.90%,50.80%,-42.89%,1,0.571,Sql,
760,Find Anagram Mappings,82.70%,Easy,71.55%,50.80%,-42.18%,1,0.578,,1
346,Moving Average from Data Stream,76.60%,Easy,71.53%,50.80%,-42.12%,1,0.579,,1
2011,Final Value of Variable After Performing Operations,89.10%,Easy,71.50%,50.80%,-42.07%,1,0.579,,
938,Range Sum of BST,85.20%,Easy,71.44%,50.80%,-41.96%,1,0.580,,
1672,Richest Customer Wealth,89.00%,Easy,71.40%,50.80%,-41.87%,1,0.581,,
557,Reverse Words in a String III,79.40%,Easy,71.23%,50.80%,-41.53%,1,0.585,,
709,To Lower Case,81.60%,Easy,71.20%,50.80%,-41.47%,1,0.585,,
